index,year,statesuperintendency,agency,reservation,school,school_type,students_enrollment,avg_attendance,num_students,school_capacity
6286,1887,North Dakota,Fort Berthold Agency,Fort Stevenson,Fort Stevenson Industrial ,boarding,,67,220,150
6287,1887,Dakota,Pine Ridge Agency,,Pine Ridge Boarding,boarding,,142,1800,200
6291,1887,Dakota,Pine Ridge Agency,,No. 1 Day,day,,31,225,40
6292,1887,Dakota,Pine Ridge Agency,,No. 2 Day,day,,41,225,40
6293,1887,Dakota,Pine Ridge Agency,,No. 3 Day,day,,36,225,40
6294,1887,Dakota,Pine Ridge Agency,,No. 4 Day,day,,44,225,40
6295,1887,Dakota,Pine Ridge Agency,,No. 5 Day,day,,37,225,40
6296,1887,Dakota,Pine Ridge Agency,,No. 6 Day,day,,50,225,40
6297,1887,Dakota,Pine Ridge Agency,,No. 7 Day,day,,34,225,40
6298,1887,Dakota,Pine Ridge Agency,,No. 8 Day,day,,32,225,40
6299,1887,South Dakota,Rosebud Agency,,Agency Day,day,,21,1700,30
6306,1887,South Dakota,Rosebud Agency,,Big Oak Creek Day,day,,17,131,30
6307,1887,South Dakota,Rosebud Agency,,Black Pipe Day,day,,33,131,30
6308,1887,South Dakota,Rosebud Agency,,Corn Creek Day,day,,20,131,24
6309,1887,South Dakota,Rosebud Agency,,Cut Meat Creek Day,day,,27,131,30
6310,1887,South Dakota,Rosebud Agency,,Little White River Day,day,,29,131,30
6311,1887,South Dakota,Rosebud Agency,,Little Oak Creek Day,day,,24,131,30
6312,1887,South Dakota,Rosebud Agency,,Oak Creek Day,day,,10,131,30
6313,1887,South Dakota,Rosebud Agency,,Pass Creek Day,day,,24,131,30
6314,1887,South Dakota,Rosebud Agency,,Pine Creek Day ,day,,18,131,30
6315,1887,South Dakota,Rosebud Agency,,Red Leaf Camp Day ,day,,24,131,30
6316,1887,South Dakota,Rosebud Agency,,Ring Thunder Camp Day,day,,28,131,34
6317,1887,South Dakota,Rosebud Agency,,Scabby Creek Day,day,,15,131,30
6318,1887,South Dakota,Rosebud Agency,,White Thunder Creek Day,day,,29,131,30
6319,1887,South Dakota,Sisseton Agency,,Sisseton Industrial ,boarding,,91,379,130
6321,1887,South Dakota,Sisseton Agency,,Goodwill Mission Boarding,boarding,,57,379,65
6322,1887,North Dakota,Standing Rock Agency,,Agency Boarding ,boarding,,117,1109,100
6328,1887,North Dakota,Standing Rock Agency,,Agricultural Boarding,boarding,,66,185,60
6329,1887,North Dakota,Standing Rock Agency,,Cannon Ball Day ,day,,60,185,60
6330,1887,North Dakota,Standing Rock Agency,,Grand River Day,day,,60,185,60
6331,1887,North Dakota,Standing Rock Agency,,No. 1 Day,day,,24,185,30
6332,1887,North Dakota,Standing Rock Agency,,No. 2 Day,day,,32,185,30
6333,1887,North Dakota,Standing Rock Agency,,No. 3 Day,day,,13,185,30
6334,1887,South Dakota,Yankton Agency,,Yankton Boarding,boarding,,80,355,75
6336,1887,South Dakota,Yankton Agency,,St. Pauls Boarding,boarding,,24,178,36
6337,1887,South Dakota,Yankton Agency,Yankton City ,Yankton City Dakota Industrial ,boarding,,41,53,75
6338,1887,Florida,,Saint Augustine,Saint Augustine Apache Day,day,,34,49,50
6339,1887,Idaho,Fort Hall Agency,,Fort Hall Boarding,boarding,,53,250,100
6342,1887,Idaho,Lemhi Agency,,Fort Lemhi Boarding,boarding,,25,134,25
6343,1887,Idaho,Nez Perce Agency,,Lapwai Boarding,boarding,,55,375,100
6346,1887,Indian Territory,Cheyenne and Arapaho Agency,,Cheyenne Boarding,boarding,,97,163,100
6347,1887,Indian Territory,Cheyenne and Arapaho Agency,,Arapaho Boarding,boarding,,74,163,100
6348,1887,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (agency),boarding,,46,163,50
6349,1887,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (Cantonment),boarding,,67,163,100
6352,1887,Indian Territory,"Kiowa, Comanche, and Wichita Agency",,Kiowa Boarding,boarding,,84,894,100
6359,1887,Indian Territory,"Kiowa, Comanche, and Wichita Agency",,Wichita Boarding,boarding,,81,200,90
6361,1887,Indian Territory,Osage Agency ,,Osage Boarding,boarding,,103,172,150
6362,1887,Indian Territory,Osage Agency ,,Kaw Boarding,boarding,,51,172,70
6364,1887,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Pawnee Boarding,boarding,,75,269,70
6365,1887,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Ponca Boarding,boarding,,78,100,100
6366,1887,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Otoe Boarding,boarding,,53,80,50
6370,1887,Washington,Quapaw Agency,,Miami Day,day,,13,22,30
6371,1887,Washington,Quapaw Agency,,Modoc Day,day,,15,17,32
6373,1887,Washington,Quapaw Agency,,Peoria Day,day,,7,59,56
6374,1887,Washington,Quapaw Agency,,Quapaw Boarding,boarding,,43,68,30
6377,1887,Washington,Quapaw Agency,,"Seneca, Shawnee, and Wyandotte Boarding",boarding,,87,211,85
6379,1887,Indian Territory,Sac and Fox Agency,,Absentee Shawnee Boarding,boarding,,68,285,80
6383,1887,Indian Territory,Sac and Fox Agency,,Sac and Fox Boarding,boarding,,34,115,50
6385,1887,Oklahoma,Sac and Fox Agency,Chilocco,Chilocco Training,boarding,,166,197,180
6392,1887,Indiana,,Wabash,Wabash White Manual Labor Institute,boarding,,63,71,80
6394,1887,Iowa,,Houghton,White's Manual Labor Institute,boarding,,47,68,60
6397,1887,Kansas,Pottawatomie and Great Nemaha,,Kickapoo Boarding,boarding,,25,50,25
6398,1887,Kansas,Pottawatomie and Great Nemaha,,Pottawatomie Boarding,boarding,,30,60,30
6399,1887,Kansas,Pottawatomie and Great Nemaha,,Sac and Fox and Iowa Boarding,boarding,,30,50,50
6400,1887,Kansas,,Halstead,Mennonite Mission Boarding,boarding,,16,22,25
6401,1887,Kansas,,Lawrence,Haskell Institute,boarding,,273,339,350
6402,1887,Kansas,,Neosho,St. Ann's Academy,boarding,,21,22,25
6408,1887,Michigan,Mackinac Agency ,,Baraga Day,day,,27,125,50
6409,1887,Michigan,Mackinac Agency ,,Iroquois Point Day,day,,13,125,50
6410,1887,Michigan,Mackinac Agency ,,Hannahville Day,day,,9,125,18
6411,1887,Michigan,Mackinac Agency ,,L'Anse Day,day,,18,125,40
6412,1887,Michigan,Mackinac Agency ,,Longwood Day,day,,9,125,20
6413,1887,Michigan,Mackinac Agency ,,Middle Village  Day,day,,15,125,35
6414,1887,Michigan,Mackinac Agency ,,Munissing Day,day,,9,125,40
6415,1887,Michigan,Mackinac Agency ,,Sugar Island Day,day,,8,125,40
6416,1887,Minnesota,White Earth Agency ,,Agency Boarding,boarding,,62,1373,110
6420,1887,Minnesota,White Earth Agency ,,Leech Lake Boarding,boarding,,39,343,70
6422,1887,Minnesota,White Earth Agency ,,Red Lake Boarding,boarding,,49,343,70
6425,1887,Minnesota,White Earth Agency ,,Rice River Day,day,,10,343,60
6426,1887,Minnesota,White Earth Agency ,,St. Benedict's Orphan,boarding,,25,343,25
6427,1887,Minnesota,,Avoca,St. Francis Xavier's Academy,boarding,,50,50,50
6428,1887,Minnesota,,Clontarf,St. Paul's Industrial,boarding,,100,108,108
6429,1887,Minnesota,,Collegeville,St. John's Institute,boarding,,89,102,100
6430,1887,Minnesota,,Graceville,Convent of Our Lady,boarding,,13,16,25
6431,1887,Minnesota,,Saint Joseph,St. Benedict's Academy,boarding,,84,100,125
6432,1887,Montana,Blackfeet Agency,,Blackfeet Boarding,boarding,,24,500,26
6434,1887,Montana,Crow Agency,,Crow Boarding,boarding,,47,350,50
6435,1887,Montana,Crow Agency,,Montana Industrial,boarding,,21,350,50
6436,1887,Montana,Flathead Agency,,St. Ignatius Boarding,boarding,,170,705,200
6441,1887,Montana,Fort Belknap Agency ,,Fort Belknap Day,day,,32,251,50
6444,1887,Montana,Fort Peck Agency,,Poplar Creek Boarding,boarding,,133,959,100
6448,1887,Montana,Tongue River Agency,,St. Labre's Mission,boarding,,36,45,50
6449,1887,Montana,Tongue River Agency,,St. Peter's Mission,boarding,,61,75,75
6450,1887,Nebraska,Omaha and Winnebago Agency,,Omaha Boarding,boarding,,62,278,60
6452,1887,Nebraska,Omaha and Winnebago Agency,,Winnebago Boarding,boarding,,30,200,80
6453,1887,Nebraska,Omaha and Winnebago Agency,,Omaha Mission,boarding,,41,139,50
6455,1887,Nebraska,Santee and Flandreau Agency,,Ponca Day,day,,7,47,34
6456,1887,Nebraska,Santee and Flandreau Agency,,Santee Boarding,boarding,,78,41,45
6457,1887,Nebraska,Santee and Flandreau Agency,,Flandreau Day,day,,23,73,50
6458,1887,Nebraska,Santee and Flandreau Agency,,Hope Boarding,boarding,,30,41,30
6459,1887,Nebraska,Santee and Flandreau Agency,,Santee Normal Training,boarding,,108,41,150
6460,1887,Nebraska,,Genoa,Genoa Training,boarding,,171,213,175
6462,1887,Nevada,Nevada Agency,,Pyramid Lake Boarding,boarding,,57,375,48
6463,1887,Nevada,Nevada Agency,,Walker River Day,day,,38,375,35
6467,1887,Nevada,Western Shoshone Agency,,Western Shoshones Day,day,,34,88,40
6471,1887,New Mexico,Mescalero Agency,,Mescalero Boarding,boarding,,34,156,30
6472,1887,New Mexico,Mescalero Agency,,Three Rivers Day,day,,5,156,12
6473,1887,New Mexico,Navajo Agency,,Navajo Boarding,boarding,,43,8000,70
6477,1887,New Mexico,Pueblo Agency,,Albuquerque Boarding,boarding,,32,122,60
6478,1887,New Mexico,Pueblo Agency,,Albuquerque Industrial ,boarding,,140,122,175
6479,1887,New Mexico,Pueblo Agency,,Berualillo Girl's Boarding,boarding,,30,122,30
6480,1887,New Mexico,Pueblo Agency,,Santa Fe Boarding,boarding,,46,122,100
6481,1887,New Mexico,Pueblo Agency,,"University of New Mexico, Santa Fe",boarding,,24,122,50
6482,1887,New Mexico,Pueblo Agency,,Acoma Day,day,,9,122,10
6483,1887,New Mexico,Pueblo Agency,,Acomita Day,day,,29,122,30
6484,1887,New Mexico,Pueblo Agency,,Isleta Day No. 1,day,,32,122,40
6485,1887,New Mexico,Pueblo Agency,,Isleta Day No. 2,day,,13,122,25
6486,1887,New Mexico,Pueblo Agency,,Jemez Day No. 1,day,,21,122,40
6487,1887,New Mexico,Pueblo Agency,,Jemez Day No. 2,day,,21,122,25
6488,1887,New Mexico,Pueblo Agency,,Laguna Day No. 1,day,,33,122,50
6489,1887,New Mexico,Pueblo Agency,,Laguna Day No. 2,day,,23,122,25
6490,1887,New Mexico,Pueblo Agency,,San Felipe Day ,day,,21,122,25
6491,1887,New Mexico,Pueblo Agency,,San Juan Day ,day,,30,122,40
6492,1887,New Mexico,Pueblo Agency,,Santo Domingo ,day,,40,122,40
6493,1887,New Mexico,Pueblo Agency,,Taos Day,day,,24,122,50
6494,1887,New Mexico,Pueblo Agency,,Zuni Day,day,,42,122,44
6515,1887,North Carolina,North Carolina Agency,Swain County,Cherokee Training,boarding,,40,100,40
6516,1887,North Carolina,North Carolina Agency,Swain County,Big Cove Day,day,,32,100,40
6517,1887,North Carolina,North Carolina Agency,Swain County,Bird Town Day,day,,21,100,24
6518,1887,North Carolina,North Carolina Agency,Swain County,Cherokee Day,day,,25,100,40
6519,1887,North Carolina,North Carolina Agency,Swain County,Macedonia Day,day,,45,100,45
6520,1887,North Carolina,North Carolina Agency,Swain County,Robbinsville Day,day,,25,100,35
6521,1887,Oregon,Grand Ronde Agency,,Grand Ronde Boarding,boarding,,55,109,45
6526,1887,Oregon,Klamath Agency,,Klamath Boarding,boarding,,85,215,95
6529,1887,Oregon,Klamath Agency,,Yainax Boarding,boarding,,70,215,80
6530,1887,Oregon,Siletz Agency,,Siletz Boarding,boarding,,67,149,60
6549,1887,Indian Territory,Umatilla Agency,,Umatilla Boarding,boarding,,59,196,196
6554,1887,Oregon,Warm Springs Agency,,Warm Springs Boarding,boarding,,56,82,50
6561,1887,Oregon,Warm Springs Agency,,Sinemasho Boarding,boarding,,29,111,60
6562,1887,Oregon,,Chemawa,Salem Training,boarding,,185,205,250
6563,1887,Pennsylvania,,Carlisle,Carlisle Training ,boarding,,547,617,500
6564,1887,Pennsylvania,,Martinsburgh,Juniata Institute,boarding,,63,67,80
6565,1887,Pennsylvania,,Philadelphia,Lincoln Institute,boarding,,200,218,200
6567,1887,Utah,Uintah and Ouray Agency,,Uintah Valley Agency,boarding,,15,250,25
6573,1887,Virginia,,Hampton,Hampton Normal and Agricultural Institute ,boarding,,116,160,150
6585,1887,Washington,Colville Agency,,Colville Boy's Boarding,boarding,,25,225,40
6586,1887,Washington,Colville Agency,,Colville Girl's Boarding,boarding,,43,225,50
6587,1887,Washington,Colville Agency,,Coeur d'Alene Boys Boarding,boarding,,44,225,60
6588,1887,Washington,Colville Agency,,Coeur d'Alene Girl's Boarding,boarding,,41,225,60
6589,1887,Washington,Neah Bay Agency ,,Neah Bay Boarding,boarding,,53,94,50
6591,1887,Washington,Neah Bay Agency ,,Quillehute Day,day,,44,68,50
6594,1887,Washington,Quinaielt Agency,,Queet's Village Day,day,,19,27,40
6595,1887,Washington,Quinaielt Agency,,Quinaielt Boarding,boarding,,21,70,30
6604,1887,Washington,Nisqually and S'Kokomish Agency ,,Puyallup Boarding,boarding,,82,83,75
6605,1887,Washington,Nisqually and S'Kokomish Agency ,,Chehalis Boarding,boarding,,42,83,50
6609,1887,Washington,Nisqually and S'Kokomish Agency ,,S'Kokomish Boarding,boarding,,42,83,40
6612,1887,Washington,Nisqually and S'Kokomish Agency ,,Jamestown Day,day,,16,83,30
6613,1887,Washington,Tulalip Agency ,,Tulalip Boarding,boarding,,103,228,125
6619,1887,Washington,Yakama Agency,,Yakima Boarding,boarding,,99,250,250
6621,1887,Wisconsin,Green Bay Agency,,,,,,353,
6622,1887,Wisconsin,Green Bay Agency,,Oneida East Day,day,,13,445,35
6623,1887,Wisconsin,Green Bay Agency,,Stockbridge Day,day,,8,30,30
6624,1887,Wisconsin,Green Bay Agency,,Menomonee Boarding,boarding,,81,49,85
6625,1887,Wisconsin,Green Bay Agency,,St. Joseph's Boarding,boarding,,127,49,36
6626,1887,Wisconsin,Green Bay Agency,,Cornelius Day,day,,8,49,36
6627,1887,Wisconsin,Green Bay Agency,,Hobart Day,day,,46,49,120
6628,1887,Wisconsin,Green Bay Agency,,Onedia West Day No. 1,day,,19,49,55
6629,1887,Wisconsin,Green Bay Agency,,Onedia West Day No. 2,day,,13,49,30
6630,1887,Wisconsin,Green Bay Agency,,Onedia West Day No. 3,day,,8,49,40
6633,1887,Wisconsin,La Pointe Agency ,,Bad River Day,day,,25,54,50
6634,1887,Wisconsin,La Pointe Agency ,,Lac Court Oreilles Day No. 1,day,,47,77,60
6635,1887,Wisconsin,La Pointe Agency ,,Fond du Lac Day,day,,26,143,35
6636,1887,Wisconsin,La Pointe Agency ,,Grand Portage Day,day,,9,63,20
6638,1887,Wisconsin,La Pointe Agency ,,Lac du Flambeau Day,day,,13,137,25
6640,1887,Wisconsin,La Pointe Agency ,,Lac Court Oreilles Day No. 2,day,,9,125,24
6641,1887,Wisconsin,La Pointe Agency ,,Pah-quay-ah-wong Day,day,,13,95,25
6642,1887,Wisconsin,La Pointe Agency ,,Vermillion Lake Day,day,,30,163,40
6643,1887,Wisconsin,,Bayfield,Bayfield Boarding,boarding,,51,100,100
6644,1887,Wisconsin,,Milwaukee,Good Shepherd Industrial,boarding,,72,75,75
6647,1887,Wyoming,Shoshone Agency,,Wind River Boarding,boarding,,81,391,80
6652,1888,Alaska,,Fort Wrangel,Fort Wrangel Thlinkit Academy,boarding,27,25,15,75
6653,1888,Alaska,,Port Chester,Port Chester Metlakahtla Day ,day,170,95,15,150
6654,1888,Alaska,,Sitka,Sitka Industrial Training School ,boarding,132,113,15,150
6655,1888,Arizona,Colorado River Agency,,Colorado River Boarding,boarding,52,47,145,60
6658,1888,Arizona,,Fort Yuma,Yuma Boarding,boarding,124,80,200,200
6659,1888,Arizona,,Keam's Canon,Moquis Boarding,boarding,71,44,500,50
6661,1888,Arizona,Pima Agency,,Pima Boarding,boarding,128,93,950,120
6663,1888,Arizona,Pima Agency,,Papago Day ,day,53,26,1423,30
6664,1888,Arizona,San Carlos Agency,,San Carlos Boarding,boarding,45,40,300,50
6672,1888,Arizona,,Tucson,Tucson Boarding,boarding,31,28,15,75
6676,1888,California,Hoopa Valley Agency ,,Hoopa Valley Day,day,58,37,95,60
6689,1888,California,Mission Agency ,,Coahuila Day ,day,36,31,114,40
6695,1888,California,Mission Agency ,,Agua Caliente Day ,day,46,28,114,50
6696,1888,California,Mission Agency ,,La Jolla Day ,day,46,29,114,50
6697,1888,California,Mission Agency ,,Portrero Day ,day,27,21,114,25
6698,1888,California,Mission Agency ,,Rincon Day ,day,28,18,114,40
6699,1888,California,Mission Agency ,,San Jacinto Day ,day,31,22,114,35
6700,1888,California,Mission Agency ,,Tule River Day ,day,23,9,114,12
6706,1888,California,Round Valley Agency,,Headquarters Day ,day,39,34,100,40
6707,1888,California,Round Valley Agency,,Lowerquarters Day ,day,32,25,45,40
6708,1888,California,,San Diego ,San Diego Industrial Training,boarding,64,57,15,100
6709,1888,California,,,St. Turibius Mission Day ,day,80,60,15,80
6731,1888,Colorado,Southern Ute Agency,,Agency Day ,day,20,12,316,25
6736,1888,Colorado,,Denver,Good Shepherd Boarding,boarding,50,50,15,100
6737,1888,Colorado,,Grand Junction ,Grand Junction Industrial ,boarding,25,20,15,60
6738,1888,Dakota,Cheyenne River Agency,,,boarding,,,767,
6744,1888,Dakota,Cheyenne River Agency,,Boy's Boarding,boarding,63,62,70,60
6745,1888,Dakota,Cheyenne River Agency,,Oahe Industrial ,boarding,55,48,70,50
6746,1888,Dakota,Cheyenne River Agency,,St. John's Boarding,boarding,41,41,70,40
6747,1888,Dakota,Cheyenne River Agency,,No. 1 Day ,day,33,28,70,30
6748,1888,Dakota,Cheyenne River Agency,,No. 2 Day ,day,32,20,70,25
6749,1888,Dakota,Cheyenne River Agency,,No. 3 Day ,day,17,13,70,25
6750,1888,Dakota,Cheyenne River Agency,,No. 4 Day ,day,18,14,70,20
6751,1888,Dakota,Cheyenne River Agency,,No. 5 Day ,day,24,21,70,25
6752,1888,Dakota,Cheyenne River Agency,,No. 6 Day ,day,19,17,70,25
6753,1888,Dakota,Cheyenne River Agency,,No. 7 Day ,day,23,19,70,25
6754,1888,Dakota,Cheyenne River Agency,,No. 8 Day ,day,46,32,70,30
6757,1888,Dakota,Crow Creek and Lower Brule Agency,,Lower Brule Boarding,boarding,55,52,120,45
6758,1888,Dakota,Crow Creek and Lower Brule Agency,,Crow Creek Boarding,boarding,86,78,120,70
6759,1888,Dakota,Crow Creek and Lower Brule Agency,,Driving Hawk's Camp Day ,day,12,9,120,18
6760,1888,Dakota,Crow Creek and Lower Brule Agency,,White River Day ,day,37,20,120,44
6761,1888,Dakota,Crow Creek and Lower Brule Agency,,Immaculate Conception Boarding,boarding,93,73,120,130
6762,1888,Dakota,Devil's Lake Agency ,,Boy's Boarding,boarding,36,30,263,30
6765,1888,Dakota,Devil's Lake Agency ,,Industrial Boarding,boarding,94,86,210,80
6766,1888,Dakota,Devil's Lake Agency ,,St. Mary's Boarding (Turtle Mountain),boarding,120,102,44,150
6767,1888,Dakota,Devil's Lake Agency ,,No. 1 Day (Turtle Mountain),day,28,14,44,40
6768,1888,Dakota,Devil's Lake Agency ,,No. 2 Day (Turtle Mountain),day,29,10,44,35
6769,1888,Dakota,Devil's Lake Agency ,,No. 3 Day (Turtle Mountain),day,65,32,44,80
6770,1888,Dakota,Devil's Lake Agency ,,St. John's Day (Turtle Mountain),day,88,80,44,90
6771,1888,Dakota,Fort Berthold Agency,,Fort Berthold Boarding,boarding,39,33,220,36
6775,1888,Dakota,,Fort Stevenson,Fort Stevenson Industrial ,boarding,115,102,15,150
6776,1888,Dakota,Pine Ridge Agency,,Pine Ridge Boarding,boarding,180,178,1800,200
6780,1888,Dakota,Pine Ridge Agency,,No. 1 Day ,day,48,28,225,40
6781,1888,Dakota,Pine Ridge Agency,,No. 2 Day ,day,53,25,225,48
6782,1888,Dakota,Pine Ridge Agency,,No. 3 Day ,day,84,46,225,40
6783,1888,Dakota,Pine Ridge Agency,,No. 4 Day ,day,53,39,225,30
6784,1888,Dakota,Pine Ridge Agency,,No. 5 Day ,day,47,31,225,40
6785,1888,Dakota,Pine Ridge Agency,,No. 6 Day ,day,63,51,225,76
6786,1888,Dakota,Pine Ridge Agency,,No. 7 Day ,day,34,29,225,40
6787,1888,Dakota,Pine Ridge Agency,,No. 8 Day ,day,40,24,225,40
6796,1888,South Dakota,Rosebud Agency,,St. Francis Boarding,boarding,88,66,121,100
6797,1888,South Dakota,Rosebud Agency,,Agency Day ,day,24,22,121,30
6798,1888,South Dakota,Rosebud Agency,,Big Oak Creek Day ,day,22,20,121,30
6799,1888,South Dakota,Rosebud Agency,,Black Pipe Creek Day ,day,38,35,121,30
6800,1888,South Dakota,Rosebud Agency,,Corn Creek Day ,day,27,20,121,30
6801,1888,South Dakota,Rosebud Agency,,Cut Meat Creek Day ,day,45,32,121,30
6802,1888,South Dakota,Rosebud Agency,,Little White River Day ,day,29,28,121,30
6803,1888,South Dakota,Rosebud Agency,,Little Oak Creek Day ,day,22,20,121,30
6804,1888,South Dakota,Rosebud Agency,,Pass Creek Day ,day,29,25,121,30
6805,1888,South Dakota,Rosebud Agency,,Pine Creek Day ,day,21,16,121,30
6806,1888,South Dakota,Rosebud Agency,,Red Leaf Camp Day ,day,34,25,121,30
6807,1888,South Dakota,Rosebud Agency,,Ring Thunder Camp Day ,day,32,27,121,30
6808,1888,South Dakota,Rosebud Agency,,Scabby Creek Day ,day,22,12,121,30
6809,1888,South Dakota,Rosebud Agency,,White Thunder Creek Day ,day,36,34,121,30
6811,1888,South Dakota,Sisseton Agency ,,Sisseton Industrial,boarding,132,89,190,140
6812,1888,South Dakota,Sisseton Agency ,,Goodwill Mission Boarding,boarding,103,74,190,100
6819,1888,North Dakota,Standing Rock Agency ,,Agency Boarding,boarding,130,116,139,100
6820,1888,North Dakota,Standing Rock Agency ,,Agricultural Boarding,boarding,109,95,139,100
6821,1888,North Dakota,Standing Rock Agency ,,Cannon Ball Day ,day,86,61,139,60
6822,1888,North Dakota,Standing Rock Agency ,,Grand River Day ,day,78,62,139,60
6823,1888,North Dakota,Standing Rock Agency ,,Marmot Day ,day,46,16,139,40
6824,1888,North Dakota,Standing Rock Agency ,,No. 1 Day ,day,39,29,139,30
6825,1888,North Dakota,Standing Rock Agency ,,No. 2 Day ,day,50,34,139,30
6826,1888,North Dakota,Standing Rock Agency ,,No. 3 Day ,day,20,13,139,30
6828,1888,South Dakota,Yankton Agency,,Yankton Boarding,boarding,91,76,178,75
6829,1888,South Dakota,Yankton Agency,,St. Paul's Boarding,boarding,48,41,178,42
6830,1888,Idaho,Fort Hall Agency ,,Fort Hall Boarding,boarding,101,75,250,100
6833,1888,Idaho,Lemhi Agency ,,Lemhi Boarding,boarding,24,23,134,30
6835,1888,Idaho,Nez Perces Agency,,Boy's Boarding,boarding,50,33,188,75
6836,1888,Idaho,Nez Perces Agency,,Girl's Boarding,boarding,75,32,188,75
6838,1888,Indiana,,Wabash,White's Manual Labor Institute,boarding,81,68,15,80
6840,1888,Indian Territory,Cheyenne and Arapaho Agency,,Cheyenne Boarding,boarding,110,80,222,110
6841,1888,Indian Territory,Cheyenne and Arapaho Agency,,Arapaho Boarding,boarding,98,78,222,100
6843,1888,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (Agency),boarding,52,47,222,50
6844,1888,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (cantonment),boarding,78,67,222,90
